City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
334,amarpur,25.0333,86.9,12.13,56,1,2.86,IN,1675556866
335,visnes,59.3556,5.2242,5.03,87,20,9.26,NO,1675556867
336,kavaratti,10.5669,72.642,27.21,69,45,1.83,IN,1675556867
337,huarmey,-10.0681,-78.1522,22.93,78,71,3.48,PE,1675556868
338,muros,42.7762,-9.0603,8.24,84,1,4.36,ES,1675556868
339,batemans bay,-35.7167,150.1833,21.17,46,0,2.46,AU,1675556869
340,fairbanks,64.8378,-147.7164,-13.02,82,40,2.57,US,1675556739
341,actopan,20.2667,-98.9333,16.34,36,0,3.51,MX,1675556869
342,kangaatsiaq,68.3065,-53.4641,-21.79,95,63,4.07,GL,1675556869
343,sola,-13.8833,167.55,27.37,78,100,4.12,VU,1675556860
344,los llanos de aridane,28.6585,-17.9182,14.86,66,75,6.17,ES,1675556870
345,tuktoyaktuk,69.4541,-133.0374,-42.0,66,20,1.03,CA,1675556782
346,kisangani,0.5167,25.2,21.38,50,19,0.81,CD,1675556871
347,handia,25.3833,82.1833,11.89,55,0,2.83,IN,1675556871
348,raudeberg,61.9875,5.1352,3.86,13,100,8.46,NO,1675556871
349,pervomayskiy,53.2485,40.2871,-7.01,97,97,2.1,RU,1675556872
350,katobu,-4.9408,122.5276,25.12,89,100,1.15,ID,1675556872
351,reconquista,-29.15,-59.65,23.72,31,89,2.72,AR,1675556872
352,namatanai,-3.6667,152.4333,27.96,74,100,0.88,PG,1675556873
353,vao,-22.6667,167.4833,26.45,87,100,9.15,NC,1675556873
354,puerto narino,-3.7703,-70.3831,21.56,99,100,0.49,CO,1675556873
355,kenora,49.8167,-94.4337,-13.46,85,100,2.06,CA,1675556874
356,kieta,-6.2167,155.6333,27.43,80,96,1.14,PG,1675556874
357,udachnyy,66.4167,112.4,-41.42,72,75,0.11,RU,1675556660
358,rorvik,64.8621,11.2373,1.06,80,40,4.12,NO,1675556876
359,frederico westphalen,-27.3592,-53.3944,21.91,72,64,1.79,BR,1675556876
360,narsaq,60.9167,-46.05,-4.88,93,94,1.51,GL,1675556877
361,matara,5.9485,80.5353,23.17,93,71,2.54,LK,1675556667
362,wamba,8.9333,8.6,25.92,18,39,2.32,NG,1675556877
363,kargasok,59.0556,80.8572,-19.9,100,100,1.65,RU,1675556878
